"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-7","4","23","1","Lowest",,,"8","7","0","27","2013, 2021","1998","24"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-5","26","18","1","Lowest",,,"6","5","0","24","2017, 2020, 2021, more","2019","24"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"10","11","0","18","2016","2019","5"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","19",,,"79","86","68","27","27","-3","28","19","8",,,,"24","22","11","47","2002, 2016","2013","26"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"15","13","2","23","2016","2019, 2020","7"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"37","35","100","6","6","-13","24","14","5",,,,"19","20","0","49","2008, 2019","2005","18"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","29","6","1","Lowest",,,"6","6","0","16","2013, 2014, 2021","2019","8"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"114","100","100","21","21","0","56","5","5",,,,"7","8","0","12","2014","2013","10"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"110","110","100","50","55","1","70","4","7",,,,"10","10","6","14","2016","2019","11"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"108","108","100","27","26","1","62","7","10",,,,"12","12","2","31","2013","2009","17"
