"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","36",,,"171","164","84","86","84","14","96","2","23","2nd Highest",,,"21","22","2","45","2014","2004","24"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","24",,,"141","171","89","63","67","10","83","5","19",,,,"17","14","0","41","2018","2005","24"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"20","18","15","28","2016, 2017","2020","4"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"35","33","20","71","2000","1997","25"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","16",,,"76","73","64","44","42","-6","29","6","3",,,,"21","22","9","32","2017","2020","8"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"43","39","13","81","2020","2013","17"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","59",,,"311","738","87","126","118","51","100","1","8","Highest",,,"19","8","0","59","2014, 2018","2022","8"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","20",,,"111","111","80","51","51","2","78","3","8",,,,"18","18","10","28","2018","2016","10"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","24",,,"171","185","92","109","120","11","100","1","11","Highest",,,"14","13","9","24","2017, 2018","2022","11"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","17",,,"68","61","65","35","34","-11","19","14","4",,,,"25","28","12","47","2015","2013","17"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","2080","61.11483","-149.66683","190204010601	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","24",,,"109","114","83","59","57","3","71","5","10",,,,"22","21","8","42","2017","2007, 2012","15"
"Anchorage Wscmo AP","0280	","Alaska","ACIS","Anchorage","110","61.16666","-150.01666","190204010808	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"11","10","0","38","1983, 1996, 2016, more","1956","67"
