"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","32",,,"139","133","74","76","74","8","78","6","19",,,,"23","24","2","42","2014, 2018","2017","24"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","22",,,"122","129","81","58","61","5","70","8","17",,,,"18","17","2","54","2000","2005","24"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"22","22","15","30","2016","2020","5"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","40",,,"108","111","95","56","57","4","80","6","18",,,,"37","36","22","65","2003","1997","26"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","16",,,"80","73","64","44","42","-6","29","6","3",,,,"20","22","9","31","2017","2020","8"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","75",,,"144","156","91","65","59","27","76","5","14",,,,"52","48","13","96","2015","2013","18"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","45",,,"225","281","66","96","90","29","86","2","7","2nd Highest",,,"20","16","0","53","2014, 2015, 2018","2017","8"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","16",,,"76","76","64","41","41","-5","22","8","3",,,,"21","21","9","31","2015","2016","10"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","23",,,"164","164","88","105","115","9","100","1","11","Highest",,,"14","14","9","23","2018","2022","11"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","19",,,"73","83","73","39","38","-4","47","9","7",,,,"26","23","11","44","2015","2012","16"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","2080","61.11483","-149.66683","190204010601	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","24",,,"109","120","83","59","57","4","64","6","10",,,,"22","20","8","51","2015, 2017","2012","15"
"Anchorage Wscmo AP","0280	","Alaska","ACIS","Anchorage","110","61.16666","-150.01666","190204010808	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"11","10","0","31","1981, 1986, 2016","1967","68"
"Aneroid Lake #2","302	","Oregon","SNOTEL","Wallowa","7400","45.21328","-117.19258","170601050101	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","36",,,"95","97","90","47","46","-1","45","12","9",,,,"38","37","14","62","2018","2008","21"
"Aniak","2065	","Alaska","SNOTEL","Bethel","80","61.58337","-159.57708","190305020504	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","6",,,"67","75","30","27","27","-2","12","8","2","2nd Lowest",,,"9","8","3","16","2015","2019","9"
