"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","30",,,"120","115","70","71","70","4","65","9","16",,,,"25","26","2","47","2014","2017","24"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","20",,,"100","111","74","53","56","2","65","9","15",,,,"20","18","0","51","2000","2005","24"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"25","24","14","35","2016","2020","6"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","38",,,"97","100","90","54","54","0","56","12","14",,,,"39","38","28","69","2021","1997","26"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","26",,,"113","108","96","72","68","2","71","3","5",,,,"23","24","14","35","2015, 2017","2020","8"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","56",,,"108","100","68","49","44","0","53","9","9",,,,"52","56","8","83","2015","2007","18"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","39",,,"139","162","57","83","78","15","71","3","6",,,,"28","24","0","72","2014, 2015","2017","8"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","18",,,"82","86","72","46","46","-3","30","8","4",,,,"22","21","10","34","2012","2017","11"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","23",,,"144","153","88","105","115","8","100","1","11","Highest",,,"16","15","11","23","2018","2022","11"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","22",,,"79","79","85","45","44","-6","25","13","5",,,,"28","28","12","45","2015","2021","17"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","2080","61.11483","-149.66683","190204010601	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","31",,,"124","124","89","76","74","6","79","4","12",,,,"25","25","8","49","2015","2012","15"
"Anchorage Wscmo AP","0280	","Alaska","ACIS","Anchorage","110","61.16666","-150.01666","190204010808	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"11","11","0","26","1961, 1986","1995","68"
"Aneroid Lake #2","302	","Oregon","SNOTEL","Wallowa","7400","45.21328","-117.19258","170601050101	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","31",,,"74","78","78","40","40","-9","5","20","2","2nd Lowest",,,"42","40","25","70","2018","2006","21"
"Aniak","2065	","Alaska","SNOTEL","Bethel","80","61.58337","-159.57708","190305020504	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","14",,,"127","117","70","64","64","2","78","3","8",,,,"11","12","2","16","2015","2019","10"
"Annie Springs","1000	","Oregon","SNOTEL","Klamath","6010","42.87007","-122.16518","180102030101	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","54",,,"82","83","71","49","49","-11","33","15","8",,,,"66","65","21","113","2014","2006","22"
"Anthony Lake","1245	","Oregon","SNOLITE","Baker","7160","44.9591","-118.22668","170502030503	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","41",,,"93","95","73","53","49","-2","25","7","3",,,,"44","43","29","54","2018","2020","9"
"Apishapa","303	","Colorado","SNOTEL","Huerfano","10000","37.33062","-105.06749","110200060406	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","8",,,"53","57","57","26","24","-6","33","17","7",,,,"15","14","4","36","2001, 2018","2019","25"
"Arapaho Ridge","1030	","Colorado","SNOTEL","Grand","10960","40.35098","-106.35098","140100010604	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","54",,,"117","112","82","69","68","6","76","5","14",,,,"46","48","10","69","2003","2011","18"
"Arbuckle Mtn","304	","Oregon","SNOTEL","Morrow","5770","45.19085","-119.25392","170702020604	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","34",,,"97","100","71","60","60","0","50","10","10",,,,"35","34","18","55","2014","2006","19"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"1","0","0","3","2015, 2016","2017","3"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","16",,,"107","107","80","55","53","1","75","2","4","2nd Highest",,,"15","15","12","18","2021","2018","5"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"33","36","16","46","2011","2018","13"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","65",,,"105","108","80","69","73","5","75","7","18",,,,"62","60","27","100","1997","2006","25"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"84","86","64","99","2009","2007","16"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST","45",,,"87","82","83","50","50","-10","29","16","6",,,,"52","55","0","72","2000","2012","22"
"Baker Butte","308	","Arizona","SNOTEL","Gila","7300","34.4566","-111.40643","150602030206	","January 22, 2022, end of day ","1-23-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"13","13","0","50","2006","2010","19"
