"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","28",,,"117","112","65","67","65","3","74","7","18",,,,"24","25","2","44","2014","2017","24"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","21",,,"111","117","78","55","58","3","57","11","14",,,,"19","18","0","54","2000","2005","24"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"23","22","14","33","2016","2020","6"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"38","37","25","64","2003","1997","25"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","25",,,"114","104","100","69","66","1","57","4","5",,,,"22","24","12","31","2017","2020","8"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","57",,,"110","106","70","50","45","3","65","7","11",,,,"52","54","9","85","2015","2007","18"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","40",,,"154","154","59","85","80","14","71","3","6",,,,"26","26","0","54","2014, 2015","2017","8"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","16",,,"80","80","64","41","41","-4","20","9","3",,,,"20","20","5","34","2012","2016","11"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","23",,,"153","153","88","105","115","8","100","1","11","Highest",,,"15","15","9","23","2018","2022","11"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","23",,,"85","82","88","47","46","-5","41","11","8",,,,"27","28","11","47","2015","2021","18"
